AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS
4408900,2271000,96046400,6293100,4145500,18677000,15449800,3093600,4396900,2397500,5748300,35999300,11176500,25082000,17149000,2523000,3432200,10573400,35678900,6512500,6986800,1502600,3030400,7988900,46028400,6839400,6572700,6019200,16491000
3728100,3306000,95623200,9277300,4176700,19238300,9810600,2791700,3415200,2849000,4956200,35356600,10190000,21982600,17209500,2948500,4840400,9009600,46518400,7977900,7769500,1807100,2895300,8073300,29507700,8155300,6051100,6533700,16116000
4085800,2973500,88063200,40371700,3358300,33668600,10396600,2469300,3446200,3053500,4369100,28320900,11090100,16971000,17215200,2706500,3124300,10781300,63477700,6007800,6754900,1827500,3353700,9644600,30582000,15955800,6936900,5832300,15553000
2703200,6609500,130216800,13518800,6092800,20170700,9366400,2176000,4149500,3424500,4474300,41097000,9403900,22010600,13015600,3547400,2537700,21092300,33646600,6551600,9306800,1020700,2582700,10614800,33011700,10799100,6055500,4985300,23192100
3210100,4029300,131747600,10880300,3404000,20281400,14713200,3129600,4878200,7248500,5078700,70765900,8463100,20137100,14874800,3388000,4152300,15914200,37073900,5867900,10637000,1329700,2873200,7110800,41014200,7965000,11835500,7029600,16907000
3881800,4154800,123055300,12399200,2639500,22499200,11559000,2968100,4233900,7099600,4213500,45446500,7145400,24970300,18545000,3418700,3717300,12124900,35151100,5428400,10351600,1496600,3184300,6278400,33309400,8803700,7691500,6672000,14300700
3152300,2443800,88966500,10149500,2121100,15828200,8827200,2606200,3336600,5359800,3688600,40158400,5898700,21686300,15720900,2562000,2508700,8425600,25978600,8201200,10344000,1077600,2763400,5047700,33263100,6616900,6968800,5983500,11149500
2930400,2494900,108256500,9550600,3023700,23942300,9183200,2629400,4021300,5483700,5932600,44625600,5923000,19780200,17128500,3289300,3694200,10763500,33599300,6924000,7771000,1474100,4002600,7563100,29564600,7191100,9181800,6674200,11488300
2987100,3357100,130525300,7950800,3005600,24846500,9807600,2622100,4959600,5759000,5957400,52996700,7089200,20155200,15055400,2925900,3315900,9548300,43260400,8411600,8217100,1486400,3359700,8379400,20664300,7749600,7885000,7744800,12720200
3129800,4682100,116124600,7697900,2268400,21743900,10418100,2375600,4325300,3624800,7306400,40916600,6434000,18984000,14417900,2964500,2470300,12227400,37780300,11237500,7304800,1216700,3260300,7232700,19322000,8825300,10631800,11419400,12525200
4485200,4376300,131577900,12593800,2929900,22421200,14110700,3234000,5243600,3781400,7647900,44925800,7855200,20055300,14312300,2918900,4163100,11901500,47726000,7506000,8540800,2043500,3862700,9997800,24391300,10314100,8900400,9402400,17941600
3014800,4234800,115366700,11781400,3040400,21741100,11636000,2798400,4392900,4767500,8642400,42770000,8186700,21322200,16382400,3070800,3503200,12370800,39336400,7526900,7447400,1468300,4275500,8598700,23007300,11016500,8095900,8287100,15657700
2644300,3411700,142689800,11388400,2552400,23872100,9105500,2320600,3880500,3283900,5301100,40351700,6138900,19648400,14630300,2833200,2748000,16338600,48975900,6611800,7692200,1170000,3936300,7220100,20133200,9427300,6218400,9292900,26933300
5314800,3733300,182602000,15891300,3282000,25951000,8936400,3408300,4447700,3990300,5384800,42329600,6898600,22574700,16318800,2861000,2819000,14210200,51033800,10245400,9600800,1315300,3997600,10187500,21623900,9308600,6545700,8414800,36298800
3625100,2631900,113990900,20891500,2323800,18954500,9229900,2152500,3949100,3237400,4195100,32034100,7732200,16167000,10443200,3255200,2753300,10308100,34925100,9618800,5675500,1189700,2453400,6499700,21080500,6684500,5781800,6654100,16782600
2811300,2414500,86643800,10631600,2540800,20254500,13296300,1568800,4267900,2624200,4250400,25071900,5516700,13223200,10269000,2147100,2713700,13999000,32550900,5722500,5971000,1259000,2338800,5065800,22754700,5161300,4919200,7149700,11993600
