AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS
0.976484114,0.984783751,0.900392629,0.960130928,0.96146546,0.95622815,0.980847394,0.985351369,0.977959498,0.986649511,0.980036462,0.944987258,0.984109597,0.993820563,0.977847175,0.993411314,0.962346153,0.979494692,0.963212017,0.982311666,0.992988606,0.982022655,0.972729891,0.962006574,1.003570171,0.963963338,0.989564977,0.994857564,0.975773158
1.045060462,1.034183544,1.042689302,1.052042436,1.054645641,1.045044996,1.020723957,1.032682486,1.029713504,1.03498107,1.039057683,1.061362079,1.016783336,1.019939988,1.03686542,1.019325358,1.041140685,1.030118831,1.046509219,1.026116866,1.020410404,1.029672028,1.011695119,1.057975562,1.002490217,1.043081158,1.033268943,1.006245972,1.030847352
1.005428093,1.013456841,0.997774153,1.003149071,1.000624284,1.00675678,1.012994062,1.00554128,1.019698181,1.005571238,1.007074631,1.004659,0.99358523,0.986966597,1.000695203,1.01088177,0.997700178,0.988986464,1.001275365,1.014333543,0.995999621,0.996798138,1.001919735,1.03087847,1.006387509,1.018032204,1.005749619,1.011772249,1.008667065
1.004889518,1.012823718,1.019063125,1.037853203,1.012009733,1.008100023,0.995635088,0.996307187,1.004801209,0.997931602,1.014219199,1.006323841,1.023226557,1.011288583,0.998114311,1.002108562,1.004191052,1.007424156,1.007250686,1.013338642,1.003690794,0.996111522,1.013370506,1.024609759,1.029266572,1.005438814,1.020008603,1.00698113,1.007778582
1.001824633,0.998803619,1.016981731,1.009690741,1.003852971,0.994490335,1.013420417,1.006272487,1.010343454,1.004663595,1.007176854,1.005655551,0.992074377,0.980834035,0.998309655,0.998283428,1.00323461,0.992367405,1.014299552,0.998175329,0.983668592,1.007128344,1.001438637,1.001852896,0.977218192,1.011769013,1.01204988,0.996743718,1.011218812
0.994232521,1.011528662,1.003196191,1.02553587,1.020649443,0.998153324,1.001589123,0.997336652,0.996272197,1.014957257,1.009114284,1.01145601,1.006049903,1.010736526,0.999900369,1.006988796,1.006760286,0.987667412,0.993574384,0.997780415,1.002418923,1.013397346,1.005048416,1.007192191,1.009640649,1.001878434,1.003461166,1.000737696,1.001153856
1.002951364,0.989540186,0.990181977,1.000822464,0.993531882,1.005781683,0.99197888,1.005284051,1.001954686,0.997168791,0.997290397,1.007619419,1.000308326,1.005736138,0.995218697,1.004516618,0.992820253,1.005639107,0.99227804,0.995027519,1.006581101,1.001662958,1.011434651,1.003468512,1.007291702,0.995601067,0.989376325,0.998736278,0.998670204
0.998883805,0.981152777,0.984962951,0.992802468,0.997728971,0.99356167,0.992713702,1.010117041,0.996655671,1.001820035,0.991190537,0.988146291,0.988670513,0.995986523,1.010309258,0.993694171,0.999791847,0.979572773,0.99270428,1.000657483,0.993244034,1.000913099,1.001574676,0.989833955,1.000172337,0.993046559,0.985218282,1.001159859,0.997958242
0.995428647,1.013212755,1.02046672,1.005365924,0.991578141,1.018745684,1.003580397,1.006658477,0.9869135,1.001162728,1.01113046,1.005170631,1.008419099,1.008907698,1.007331068,0.998896386,0.983191986,1.015401329,1.029005379,1.023524788,1.009434997,1.010283612,1.035515589,1.021499479,1.001206255,1.001750474,1.016135866,1.013691449,0.994129194
1.014491336,0.997542351,1.012216606,0.999489007,1.007422159,0.99863696,0.9935783,1.095436594,1.003229965,1.001814619,0.999096348,0.990329279,0.989795857,0.986335884,1.008064516,0.990774511,1.002858018,1.001476555,1.003523426,0.997431985,0.993044245,1.003940264,1.017868946,0.995643079,0.98244413,1,1.002925185,1.00103894,0.992394435
1.000804688,1.015234547,1.005937756,1.019968182,1.021874441,1.005686988,1.005026903,1.010198873,0.987742894,1.013476315,1.004686763,1.007064201,1.008200586,1.002983866,1.004097541,1.009813186,1.01176911,1.013268992,1.007022262,1.018666285,0.992010463,1.005233025,0.993536288,1.008617302,0.995620182,0.99956315,0.999861083,1.004047743,1.000901614
1.009950799,1.009706849,1.006159425,1.015706411,1.015311529,1.01854784,1.021525581,1.017328832,1.026934335,1.014083507,1.013339894,1.014854508,1.0123945,1.011687208,1.016226176,1.008061432,1.021647248,1.003571379,1.014983,1.016681411,1.008605461,1.008703432,1.022058018,1.017954798,1.004575013,1.008886954,1.006111988,1.010233668,1.000270237
0.993531041,0.990680749,0.977553859,0.981273773,0.968081985,0.994448146,0.982250529,0.976004739,0.986245679,0.985689116,0.989500836,0.981297032,0.985538305,1.002310439,0.98422417,1.010954702,0.981619494,0.999472864,0.981153105,1.003729062,0.989280289,0.986694614,1.000715638,0.976657281,0.998248415,0.996750924,0.98840254,0.997544203,0.996037437
0.998797926,0.997920596,1.004044331,1.001983769,0.996823972,1.015185351,0.991543555,0.996054234,0.998757823,1.006579874,1.084639297,0.993163435,1,1.011525545,0.997474237,1.008235298,1.000156028,0.994856895,1.009746395,0.996904025,1.048650972,1.005393887,1.005005785,1.00537095,1.013511072,0.99246644,1.001676254,1.012514115,1.004701673
1.000100311,0.997072847,0.992073779,0.999051906,1.006903269,1.003299648,1.019032256,1.004570894,1.002261258,1.003126247,0.997290979,1.037964102,0.986257733,0.987984235,1.00058432,1.006878387,1.001196167,0.969909856,0.995220673,0.999254683,0.994306273,1.011055113,0.996666976,0.980767913,0.988054051,1.005036144,0.994561442,0.99645428,0.994870411
1.010529442,0.989053107,1.033136871,1.016551827,1.031115838,1.011401008,0.99744515,1.014863508,1.017541887,1.003754172,1.010865511,0.945337679,1.009446564,0.993289998,1.00632666,0.982014223,1.017556565,0.996993313,1.00913372,1.002113364,0.99257683,1.004823975,1.007214455,1.01954116,0.988260067,1.007044307,1.007992134,0.985563247,1.004884604
0.9961298,0.965688953,0.990745487,0.996622705,0.908738873,0.991762389,0.990725994,0.994918781,0.996840399,0.991320225,1.002239285,0.992984652,1.005926921,0.995777897,1.004739317,0.99782612,0.986217473,0.999588759,0.980498311,0.996402419,0.999145288,1.000400032,0.995224775,0.983905417,0.976418405,0.980673592,0.995687898,1.001237838,0.997479539
1.005778064,1.000833571,0.98963524,1.005344803,1.0173675,1.004590142,0.996968922,1.003905463,0.999221487,1.008969313,1.000446834,0.996360565,1.010388379,1.004876066,1.002791692,0.992211286,1.019409938,1.004251212,0.979634565,0.998754993,1.000213901,0.998320411,1.002136698,0.985406849,0.967495896,0.992720016,0.998882341,0.996393993,1.000812237
1.016937391,0.962261205,1.068334682,1.062508555,1.028293701,1.016318538,1.01055173,1.009875292,1.013857148,1.010864921,1.000372248,1.021486893,1.010051385,1.00970462,1.002303984,0.997804282,1.011779675,1.001911816,1.033417476,1.013213637,1.010476758,1.008492205,1.011333878,1.027414321,1.013513533,1.019259304,1.001538476,0.980250274,0.993056763
1.000292189,1.012171373,1.007201234,0.994583705,1.023441726,1.012417084,1.01451199,0.97792374,1.007410287,1.002442811,1.000297648,0.991165293,1.010938947,1.005641454,0.991284322,0.983550614,1.005168861,1.01444723,0.981669514,1.007381865,1.020630597,0.997299047,0.999371295,1.01883881,1.019629648,0.981177246,1.009076958,1.010864968,1.012621448
